class_name,code_lines,fields_num,methods_num
DynamicProxyTest,72,0,5
TestObject,4,2,0
1,6,0,1
2,15,0,1
3,6,0,1
4,6,0,1
EncodingTestSuite,109,0,4
Thing,4,2,0
ErrorTest,76,0,5
ExtendedTypesTest,254,0,23
CircularExternalizable,50,3,6
InnerExternalizable1,20,1,2
InnerExternalizable2,21,1,2
OtherOwner,53,3,0
ExternalizableTest,186,0,4
ThingWithFinalField,4,2,0
FinalFieldsTest,30,0,2
IDReferenceTest,95,0,6
Farm,6,3,0
Animal,8,2,0
MegaFarm,5,3,0
House,15,4,2
Room,8,2,0
Person,9,3,0
NumberedRoom,9,2,0
Aquarium,9,3,0
Area,5,2,0
County,3,1,0
Country,5,2,0
Dog,7,1,0
Cat,7,1,0
PrimitiveArray,3,1,0
MultiDimenstionalArrays,5,3,0
ImplicitArrayTest,747,0,27
Farm,13,3,1
Animal,8,2,0
MegaFarm,9,3,0
House,23,4,4
Room,8,2,0
Person,13,3,1
Zoo,16,2,1
Aquarium,13,3,1
Area,11,2,0
County,7,1,0
Country,5,2,0
Dog,7,1,0
Cat,7,1,0
ImplicitCollectionTest,816,0,27
1,6,0,1
MegaSampleMaps,9,3,0
SampleMaps2,5,2,0
IntermediateMaps,3,1,0
SampleMaps3,6,2,0
ImplicitMapTest,776,0,27
A,3,1,0
B,3,1,0
C,3,1,0
AllImplicitTypes,20,5,0
AllHidingTypes,9,4,0
AllHidingImplicitTypes,10,4,0
ImplicitTest,297,0,5
ParentClass,11,1,1
ChildClass,27,1,4
StaticChildClass,7,1,0
ParentA,8,2,1
ChildA,20,2,2
InheritanceTest,142,0,4
Dynamic2,3,1,0
Dynamic1,7,1,0
Dynamic5,3,1,0
1Dynamic4,12,2,0
Dynamic3,21,2,0
InnerType,33,1,0
OuterType,41,5,0
InnerClassesTest,111,0,2
JodaTimeTypesTest,22,0,1
LambdaKeeper,13,2,2
LambdaTest,213,0,7
MultiBoolean,17,3,0
SymbolParameter,15,3,0
HexNumberConverter,16,0,3
LocalConverterTest,89,0,3
ThingWithMap,4,2,0
ThingWithDifferentTypesOfMaps,7,5,0
MyMap,3,1,0
MapTest,231,0,14
Person,14,4,0
1,16,0,3
2,6,0,1
ReusingReferenceByIdMarshallingStrategy,23,2,2
MultipleObjectsInOneStreamTest,338,0,9
Arrays,6,4,0
NamedLocalElementsTest,558,0,25
Thing,6,4,0
DerivedThing,4,2,0
AnotherThing,7,5,0
1OmitFieldsWithMyPrefixMapper,10,0,1
1,6,0,1
ThingAgain,13,2,2
OmitFieldsTest,382,0,17
Inner,11,1,1
Outer,26,2,1
PersistenceArrayListConverter,25,0,3
PersistenceTest,87,1,4
QNameMappedConcreteClassesTest,136,3,8
ResolveToNull,12,2,1
ReadResolveTest,60,0,3
StupidObject,16,2,3
ReflectionClassesTest,114,0,7
RelativeSingleNodeXPathReferenceTest,96,0,5
RecursiveThing,18,2,2
RelativeXPathReferenceTest,189,0,9
SecurityManagerTest,281,3,8
Exec,6,0,1
SecurityVulnerabilityTest,80,1,5
PrivateBase,26,1,4
PrivateChildOwnRR,26,1,4
PrivateChildNoRR,16,1,2
ProtectedBase,26,1,4
