class_name,code_lines,fields_num,methods_num
Values,29,1,4
ValuesIterator,12,0,1
HashEntry,66,4,6
HashIterator,75,5,5
AbstractHashedMap,1343,19,46
EntrySet,55,2,3
EntrySetIterator,17,1,1
MapEntry,16,1,1
AbstractInputCheckedMapDecorator,165,0,3
AbstractIterableMap,10,0,1
LinkMapIterator,44,0,5
EntrySetIterator,17,0,2
KeySetIterator,18,0,2
ValuesIterator,18,0,2
LinkEntry,18,2,0
LinkIterator,80,4,8
AbstractLinkedMap,559,1,18
AbstractMapDecorator,115,1,16
AbstractOrderedMapDecorator,58,0,6
ReferenceStrength,30,4,1
ReferenceEntrySet,21,0,2
ReferenceKeySet,21,0,2
ReferenceValues,21,0,2
ReferenceEntry,173,1,10
ReferenceBaseIterator,92,9,6
ReferenceEntrySetIterator,13,0,1
ReferenceKeySetIterator,12,0,1
ReferenceValuesIterator,12,0,1
ReferenceMapIterator,38,0,4
SoftRef,14,1,1
WeakRef,14,1,1
AbstractReferenceMap,1020,4,28
SortedMapIterator,37,0,3
AbstractSortedMapDecorator,127,0,10
CaseInsensitiveMap,106,1,4
CompositeMap,521,3,17
DefaultedMap,146,2,6
EntrySetToMapIteratorAdapter,89,3,8
FixedSizeMap,118,1,12
FixedSizeSortedMap,135,1,16
FlatMapIterator,103,3,8
EntrySet,41,1,4
FlatMapEntry,113,3,7
EntryIterator,35,3,3
EntrySetIterator,10,0,1
KeySet,41,1,5
KeySetIterator,12,0,1
Values,34,1,4
ValuesIterator,12,0,1
Flat3Map,1210,12,21
HashedMap,81,1,3
LRUMap,467,4,15
LazyMap,113,2,5
LazySortedMap,105,1,9
LinkedMapList,101,1,18
LinkedMap,256,1,8
1,6,0,1
ValuesView,49,1,7
1,6,0,1
KeySetView,34,1,4
EntrySetView,79,3,11
ListOrderedIterator,21,2,2
ListOrderedMapEntry,18,1,2
ListOrderedMapIterator,85,4,10
ListOrderedMap,725,2,26
MultiKeyMap,832,1,37
1,14,0,3
1,24,0,1
Values,20,0,3
ValuesIterator,29,3,3
ReflectionFactory,28,2,2
MultiValueMap,506,3,20
ConstantTimeToLiveExpirationPolicy,79,2,1
PassiveExpiringMap,479,3,19
PredicatedMap,143,3,8
PredicatedSortedMap,84,1,8
ReferenceIdentityMap,177,1,6
ReferenceMap,119,1,2
SingletonMapIterator,81,3,10
SingletonValues,30,2,5
SingletonMap,548,3,28
Node,43,3,5
Lock,3,1,0
BaseIterator,41,3,3
EntryIterator,8,0,1
ValueIterator,8,0,1
KeyIterator,8,0,1
EntrySet,50,0,5
KeySet,38,0,5
Values,18,0,3
StaticBucketMap,641,3,17
TransformedMap,199,3,11
TransformedSortedMap,122,1,9
UnmodifiableEntrySetIterator,16,0,2
UnmodifiableEntry,11,0,1
UnmodifiableEntrySet,154,1,11
UnmodifiableMap,115,1,11
UnmodifiableOrderedMap,110,1,11
UnmodifiableSortedMap,133,1,16
WrappedList,105,0,13
ValuesListIterator,73,3,9
AbstractListValuedMap,252,0,5
WrappedCollection,145,1,15
1,11,0,2
MapEntryTransformer,17,0,1
KeysMultiSet,56,0,6
1,15,2,1
EntryValues,27,0,2
MultiValuedMapEntry,12,0,1
MultiValuedMapIterator,51,2,6
Values,20,0,3
ValuesIterator,29,3,3
AsMapEntrySet,32,0,5
AsMapEntrySetIterator,13,0,1
AsMap,122,1,10
AbstractMultiValuedMap,879,5,28
AbstractMultiValuedMapDecorator,147,2,23
WrappedSet,26,0,2
AbstractSetValuedMap,100,0,5
ArrayListValuedHashMap,101,4,4
HashSetValuedHashMap,90,4,3
TransformedMultiValuedMap,152,3,8
UnmodifiableMultiValuedMap,108,1,15
MapBasedMultiSetIterator,61,6,3
MutableInteger,25,1,2
UniqueSetIterator,40,3,2
EntrySetIterator,46,4,3
MultiSetEntry,22,1,2
AbstractMapMultiSet,525,3,19
MultiSetIterator,52,5,3
UniqueSet,44,1,6
EntrySet,50,1,4
AbstractEntry,28,0,3
AbstractMultiSet,466,2,23
AbstractMultiSetDecorator,76,1,9
HashMultiSet,48,1,2
PredicatedMultiSet,94,1,10
SynchronizedSet,13,1,0
SynchronizedMultiSet,131,1,10
UnmodifiableMultiSet,136,1,16
AbstractPropertiesFactory,135,0,9
PropertiesFactory,25,1,1
SortedProperties,15,1,1
SortedPropertiesFactory,25,1,1
AbstractQueueDecorator,61,1,6
1,60,3,3
CircularFifoQueue,382,6,18
PredicatedQueue,86,1,7
SynchronizedQueue,112,1,9
TransformedQueue,105,1,8
UnmodifiableQueue,125,1,14
DeleteCommand,22,0,1
EditCommand,35,1,2
EditScript,88,3,6
InsertCommand,24,0,1
KeepCommand,24,0,1
ReplacementsFinder,62,4,3
Snake,51,3,3
SequencesComparator,290,5,4
AbstractNavigableSetDecorator,93,1,12
AbstractSerializableSetDecorator,42,1,2
AbstractSetDecorator,45,1,3
AbstractSortedSetDecorator,67,1,7
CompositeSet,485,3,24
OrderedSetIterator,39,2,4
ListOrderedSet,368,2,20
MapBackedSet,150,3,18
PredicatedNavigableSet,112,1,13
PredicatedSet,60,1,4
PredicatedSortedSet,85,1,8
TransformedNavigableSet,140,1,14
TransformedSet,78,1,4
TransformedSortedSet,114,1,9
UnmodifiableNavigableSet,154,1,19
UnmodifiableSet,82,1,9
UnmodifiableSortedSet,123,1,14
AbstractIterableGetMapDecorator,106,1,14
TransformedSplitMap,156,3,10
StringKeyAnalyzer,110,4,6
BasicEntry,69,3,7
AbstractBitwiseTrie,184,2,9
Reference,12,1,2
TrieEntry,113,6,4
EntryIterator,6,0,1
EntrySet,50,0,5
KeyIterator,6,0,1
KeySet,39,0,5
ValueIterator,6,0,1
Values,44,0,5
TrieIterator,69,3,4
TrieMapIterator,67,1,8
RangeMap,162,1,19
RangeEntryMap,113,4,8
EntryIterator,25,1,2
RangeEntrySet,125,3,5
PrefixRangeMap,181,7,14
SingletonIterator,35,2,3
EntryIterator,63,5,3
PrefixRangeEntrySet,144,3,2
AbstractPatriciaTrie,2408,7,49
KeyAnalyzer,115,4,10
PatriciaTrie,13,1,0
UnmodifiableTrie,172,2,26
ArrayStack,120,1,6
ArrayUtils,95,1,3
BagUtils,234,2,11
ClosureUtils,317,0,16
CardinalityHelper,62,2,5
SetOperationCardinalityHelper,47,2,3
EquatorWrapper,28,2,3
CollectionUtils,1988,1,69
ComparatorUtils,204,1,10
EnumerationUtils,65,0,3
FactoryUtils,107,0,6
FluentIterable,438,1,32
FunctorException,47,1,0
1,6,0,1
1,9,0,1
2,14,0,1
3,6,0,1
4,6,0,1
5,6,0,1
6,6,0,1
1,9,0,1
7,14,0,1
8,9,0,1
9,6,0,1
10,6,0,1
11,6,0,1
UnmodifiableIterable,13,1,1
12,6,0,1
13,13,0,1
IterableUtils,1053,1,42
IteratorUtils,1472,8,69
LcsVisitor,22,1,4
CharSequenceAsList,19,1,2
Partition,34,2,3
ListUtils,688,0,24
1,2,0,0
2,2,0,0
MapUtils,1971,2,93
MultiMapUtils,211,1,11
MultiSetUtils,90,1,4
PredicateUtils,469,0,29
QueueUtils,108,1,5
SetView,40,0,5
1,11,0,2
2,21,0,4
3,11,0,2
4,21,0,4
SetUtils,618,1,24
WrappedGet,91,1,15
WrappedPut,81,1,14
SplitMapUtils,234,0,2
TransformerUtils,416,0,23
TrieUtils,23,0,1
