class_name,method_name,code_lines 
SampleDynamicProxy,hashCode,3
SampleDynamicProxy,invoke,9
SampleDynamicProxy,newInstance,3
SampleDynamicProxy,newInstance,4
SomethingExternalizable,readExternal,8
SomethingExternalizable,writeExternal,6
StandardObject,compareTo,3
StandardObject,equals,3
StandardObject,hashCode,3
StandardObject,toString,3
StatusEnum,compareTo,3
StatusEnum,readResolve,3
StatusEnum,toString,3
Handler,getProtocol,4
HandlerManager,getHandlers,4
Protocol,getId,4
WithNamedList,getName,3
AbsoluteSingleNodeXPathReferenceTest,setUp,4
AbsoluteSingleNodeXPathReferenceTest,testCanReferenceDeserializedNullValues,12
AbsoluteSingleNodeXPathReferenceTest,testCircularReferenceToSelfXml,12
AbsoluteSingleNodeXPathReferenceTest,testCircularReferenceXml,17
AbsoluteSingleNodeXPathReferenceTest,testReplacedReference,15
AbsoluteSingleNodeXPathReferenceTest,testRing,23
AbsoluteSingleNodeXPathReferenceTest,testTree,31
AbsoluteSingleNodeXPathReferenceTest,testXmlContainsReferencePaths,23
AbsoluteXPathReferenceTest,setUp,4
AbsoluteXPathReferenceTest,testCanReferenceDeserializedNullValues,12
AbsoluteXPathReferenceTest,testCircularReferenceToSelfXml,12
AbsoluteXPathReferenceTest,testCircularReferenceXml,17
AbsoluteXPathReferenceTest,testReplacedReference,15
AbsoluteXPathReferenceTest,testRing,23
AbsoluteXPathReferenceTest,testTree,31
AbsoluteXPathReferenceTest,testXmlContainsReferencePaths,23
AbstractAcceptanceTest,assertArrayEquals,6
AbstractAcceptanceTest,assertBinarySerialization,10
AbstractAcceptanceTest,assertBothWays,15
AbstractAcceptanceTest,assertBothWaysNormalized,22
AbstractAcceptanceTest,assertByteArrayEquals,3
AbstractAcceptanceTest,assertObjectsEqual,16
AbstractAcceptanceTest,assertWithAsymmetricalXml,7
AbstractAcceptanceTest,createDriver,15
AbstractAcceptanceTest,createXStream,5
AbstractAcceptanceTest,dumpBytes,19
AbstractAcceptanceTest,normalizedXML,42
AbstractAcceptanceTest,setupSecurity,4
AbstractAcceptanceTest,toXML,3
AbstractBuilderAcceptanceTest,assertArrayEquals,6
AbstractBuilderAcceptanceTest,assertBinarySerialization,10
AbstractBuilderAcceptanceTest,assertBothWays,13
AbstractBuilderAcceptanceTest,assertBothWays,15
AbstractBuilderAcceptanceTest,assertBothWaysNormalized,24
AbstractBuilderAcceptanceTest,assertByteArrayEquals,3
AbstractBuilderAcceptanceTest,assertObjectsEqual,17
AbstractBuilderAcceptanceTest,assertWithAsymmetricalXml,7
AbstractBuilderAcceptanceTest,createDriver,16
AbstractBuilderAcceptanceTest,createXStream,3
AbstractBuilderAcceptanceTest,dumpBytes,11
AbstractBuilderAcceptanceTest,normalizedXML,41
AbstractBuilderAcceptanceTest,toXML,3
NestedThing,readObject,3
NestedThing,writeObject,3
WeirdThing,readObject,4
WeirdThing,writeObject,4
TreeData,add,4
TreeData,equals,27
TreeData,hashCode,7
TreeData,writeReplace,6
AbstractReferenceTest,replacedReference,14
AbstractReferenceTest,setUp,6
AbstractReferenceTest,testCircularReference,17
AbstractReferenceTest,testCircularReferenceToSelf,10
AbstractReferenceTest,testDeepCircularReferences,35
AbstractReferenceTest,testImmutableInstancesAreNotReferenced,21
AbstractReferenceTest,testImmutableInstancesCanBeDereferenced,32
AbstractReferenceTest,testMultipleReferencesToObjectsWithNoChildren,9
AbstractReferenceTest,testReferenceElementInImplicitArrays,12
AbstractReferenceTest,testReferenceElementInImplicitCollection,12
AbstractReferenceTest,testReferencesAreTheSameObjectWhenDeserialized,26
AbstractReferenceTest,testReferencesAreWorking,15
AbstractReferenceTest,testReferencesNotUsedForImmutableValueTypes,11
AbstractReferenceTest,testReferencesToElementsOfImplicitCollectionIsPossible,15
AbstractReferenceTest,testReferencesToElementsOfNthImplicitCollectionIsPossible,15
AbstractReferenceTest,testReferencesToImplicitCollectionIsNotPossible,19
AbstractReferenceTest,testReferencesUsedForMutableValueTypes,14
AbstractReferenceTest,testThrowsForInvalidReference,16
AbstractReferenceTest,testWeirdCircularReference,30
1,realClass,4
AliasTest,takingDoubles,1
AliasTest,testBarfsIfItDoesNotExist,18
AliasTest,testCanAliasArray,10
AliasTest,testCanAliasArrayElements,17
AliasTest,testCanAliasArrayInMultiDimension,12
AliasTest,testCanAliasCompletePackage,12
AliasTest,testCanAliasInheritedFields,14
AliasTest,testCanAliasPrimitiveTypes,10
AliasTest,testCanAliasSubPackage,12
AliasTest,testCanCreateAliasingJavaTypeConverter,56
AliasTest,testCanDeserializeAliasedInheritedFieldsToSameName,17
AliasTest,testCanOverwriteInheritedAlias,15
AliasTest,testCanUseInternalNameAsFieldAlias,17
AliasTest,testClassTakesPrecedenceOfPackage,19
AliasTest,testForFieldAsAttribute,11
AliasTest,testForLongerPackageNameTakesPrecedence,23
AliasTest,testForReferenceSystemAttribute,18
AliasTest,testForSystemAttributes,22
AliasTest,testIdentityForFields,15
AliasTest,testToDefaultPackage,12
AliasTest,testWithPrefixedUnderscore,13
AliasTest,testWithUnderscore,13
ArraysTest,testArrayInCustomObject,13
ArraysTest,testArrayOfMixedTypes,13
ArraysTest,testBoxedTypeArray,11
ArraysTest,testCustomObjectArray,16
ArraysTest,testDeserializingObjectWhichContainsAPrimitiveLongArray,18
ArraysTest,testEmptyArray,8
ArraysTest,testHandlesArrayClassesThatHaveNotYetBeenLoaded,13
ArraysTest,testMultidimensionalArray,42
ArraysTest,testMultidimensionalArrayOfMixedTypes,31
ArraysTest,testNullArrayInCustomObject,6
ArraysTest,testPrimitiveArray,11
ArraysTest,testStringArray,12
ArraysTest,testUninitializedArray,16
One,setID,3
MyIDConverter,canConvert,3
MyIDConverter,fromString,3
MyIDConverter,toString,3
TransientIdField,equals,3
TransientIdField,hashCode,3
AttributeTest,setUp,4
AttributeTest,tearDown,4
AttributeTest,testAllowsAnAttributeForAFieldOfASpecialTypeAlsoInASuperClass,12
AttributeTest,testAllowsAnAttributeForASpecificAliasedField,13
AttributeTest,testAllowsAnAttributeForASpecificField,13
AttributeTest,testAllowsAnAttributeForASpecificFieldInASuperClass,14
AttributeTest,testAllowsAttributeToBeAliased,16
AttributeTest,testAllowsAttributeWithArbitraryFieldType,15
AttributeTest,testAllowsAttributeWithCustomConverterAndFieldName,15
AttributeTest,testAllowsAttributeWithKnownConverterAndFieldName,11
AttributeTest,testAttributeMayHaveXmlUnfriendlyName,8
AttributeTest,testAttributeNamedLikeTransientFieldDoesNotAbortDeserializationOfFollowingFields,12
AttributeTest,testCanHandleNullValues,11
AttributeTest,testCanHandlePrimitiveValues,9
AttributeTest,testDoesNotAllowAttributeWithCustomConverterAndDifferentFieldName,16
AttributeTest,testDoesNotAllowAttributeWithNullAttribute,14
AttributeTest,todoTestHidingMemberCanBeWrittenIfAliasDiffers,17
BasicTypesTest,testBigDecimal,4
BasicTypesTest,testBigInteger,4
BasicTypesTest,testDifferentBaseIntegers,6
BasicTypesTest,testNegativeIntegersInHex,6
BasicTypesTest,testNegativeIntegersInOctal,6
BasicTypesTest,testNull,3
BasicTypesTest,testNullCharacter,4
BasicTypesTest,testNumberFormats,4
BasicTypesTest,testOtherPrimitives,6
BasicTypesTest,testPrimitiveNumbers,9
BasicTypesTest,testStringBuffer,8
BasicTypesTest,testStringBuilder,8
BasicTypesTest,testStrings,4
BasicTypesTest,testUUID,4
1,next,11
ReferenceByFirstnameMarshallingStrategy,createMarshallingContext,20
BeanIDCircularReferenceTest,setUp,5
BeanIDCircularReferenceTest,testCanAvoidMemberIfUsedAsId,27
BeanIDCircularReferenceTest,testCircularReferenceToSelfXml,12
BeanIDCircularReferenceTest,testCircularReferenceXml,17
BeanIDCircularReferenceTest,testReplacedReference,15
BooleanFieldsTest,testBinaryValues,24
BooleanFieldsTest,testTrueFalseValues,23
BooleanFieldsTest,testYesNoValues,24
BufferedImagesTest,suite,5
BufferedImagesTest,testInBWCanBeMarshalled,19
BufferedImagesTest,testInRGBACanBeMarshalled,19
1,wrapMapper,3
DelegatingHandler,invoke,3
DelegatingInterceptor,intercept,4
DelegatingInterceptor,run,2
DelegatingDispatcher,loadObject,3
2,accept,6
3,accept,6
InterceptingHandler,intercept,4
CglibCompatibilityTest,createXStream,13
CglibCompatibilityTest,testProxyTypeCanBeAliased,24
CglibCompatibilityTest,testSupportForClassBasedProxyWithAdditionalInterface,21
CglibCompatibilityTest,testSupportProxiesUsingFactoryWithMultipleCallbacks,30
CglibCompatibilityTest,testSupportProxiesWithMultipleCallbackSetToNull,16
CglibCompatibilityTest,testSupportsClassBasedProxiesWithFactory,27
CglibCompatibilityTest,testSupportsClassBasedProxiesWithoutFactory,27
CglibCompatibilityTest,testSupportsInterceptedClassBasedProxies,37
CglibCompatibilityTest,testSupportsProxiesAsFieldMember,26
CglibCompatibilityTest,testSupportsProxiesWithMultipleInterfaces,20
CglibCompatibilityTest,testSupportsSerialVersionUID,23
CglibCompatibilityTest,testThrowsExceptionForProxiesNotUsingFactoryWithMultipleCallbacks,27
ClassLoaderTest,testAllowsClassLoaderToBeOverriden,39
CollectionsTest,testEmptyList,3
CollectionsTest,testEmptyListIsImmutable,10
CollectionsTest,testEmptyListIsSingleton,3
CollectionsTest,testEmptySet,3
CollectionsTest,testEmptySetIsImmutable,10
CollectionsTest,testEmptySetIsSingleton,3
CollectionsTest,testEntrySetOfHashMapCanBeSerialized,28
CollectionsTest,testKeySetOfHashMapCanBeSerialized,17
CollectionsTest,testLinkedHashSetRetainsOrdering,18
CollectionsTest,testListCanBeRootObject,13
CollectionsTest,testListFromArrayAsList,11
CollectionsTest,testListsCanContainBasicObjects,20
CollectionsTest,testListsCanContainCustomObjects,37
CollectionsTest,testPropertiesWithDefaults,18
CollectionsTest,testSetCanBeRootObject,13
CollectionsTest,testSingletonList,6
CollectionsTest,testSingletonSet,6
CollectionsTest,testSyncronizedArrayList,26
CollectionsTest,testSyncronizedList,26
CollectionsTest,testUnmodifiableList,16
CollectionsTest,testValueSetOfHashMapCanBeSerialized,16
CollectionsTest,testVector,11
ConcreteClassesTest,testAlternativeImplementationOfInterface,16
ConcreteClassesTest,testCustomInterfaceCanHaveMultipleImplementations,28
ConcreteClassesTest,testDefaultImplementationOfInterface,15
ConcreteClassesTest,testUnknownChildMatchingATypeThrowsConversionException,15
1,uncaughtException,4
2,run,18
ConcurrencyTest,testConcurrentXStreaming,81
ConcurrentTypesTest,testConcurrentHashMap,15
ConcurrentTypesTest,testDerivedConcurrentHashMap,19
SamplePersonHolder,equals,5
SamplePersonHolder,hashCode,3
TransientInitializingClass,readResolve,4
CustomClassesTest,testCustomObjectCanBeInstantiatedExternallyBeforeDeserialization,30
CustomClassesTest,testCustomObjectWillNotUnmarshalInheritedTransientFields,15
CustomClassesTest,testCustomObjectWillNotUnmarshalTransientFields,13
CustomClassesTest,testCustomObjectWillNotUnmarshalTransientFieldsFromAttributes,20
CustomClassesTest,testCustomObjectWithBasicFields,17
CustomClassesTest,testCustomObjectWithCustomObjectField,26
CustomClassesTest,testCustomObjectWithCustomObjectFieldsSetToNull,24
CustomClassesTest,testCustomObjectWithTransientFieldInitialization,8
CustomClassesTest,testEmptyStringsAreNotTreatedAsNulls,13
CustomClassesTest,testFailsFastIfFieldIsDefinedTwice,15
CustomClassesTest,testFieldWithObjectType,10
CustomClassesTest,testNullObjectsDoNotHaveFieldsWritten,7
CustomClassesTest,testNullsAreDistinguishedFromEmptyStrings,13
DoubleConverter,canConvert,3
DoubleConverter,fromString,8
DoubleConverter,toString,3
CustomConverterTest,testWrongObjectTypeReturned,16
1,compare,3
AlphabeticalFieldkeySorter,sort,11
CustomFieldKeySorterTest,createXStream,6
CustomFieldKeySorterTest,testSortsAlphabetically,15
FieldPrefixStrippingMapper,realMember,17
FieldPrefixStrippingMapper,serializedMember,10
1,wrapMapper,3
PackageStrippingMapper,serializedClass,3
2,wrapMapper,3
1,shouldSerializeMember,3
3,wrapMapper,10
1,realClass,14
4,wrapMapper,20
CustomMapperTest,testCanBeUsedToOmitUnexpectedElements,30
CustomMapperTest,testInjectingReplacements,38
CustomMapperTest,testOwnMapperChainCanBeRegistered,12
CustomMapperTest,testStripsPackagesUponDeserialization,18
CustomMapperTest,testUserDefinedMappingCanAlterFieldName,20
ObjectWithCustomSerialization,readObject,7
ObjectWithCustomSerialization,writeObject,7
Parent,readObject,5
Parent,writeObject,5
Child,readObject,5
Child,writeObject,5
MyHashtable,equals,3
ObjectWithNamedFields,readObject,9
ObjectWithNamedFields,writeObject,10
NoDefaultFields,readObject,4
NoDefaultFields,writeObject,4
ObjectWithNamedThatMatchRealFields,readObject,5
ObjectWithNamedThatMatchRealFields,writeObject,6
ObjectThatReadsCustomFieldsButDoesNotWriteThem,readObject,5
ObjectThatReadsCustomFieldsButDoesNotWriteThem,writeObject,3
ObjectThatWritesCustomFieldsButDoesNotReadThem,readObject,3
ObjectThatWritesCustomFieldsButDoesNotReadThem,writeObject,6
CustomSerializationTest,testAllowsNamedFields,31
CustomSerializationTest,testCustomStreamWithNestedCustomStream,38
CustomSerializationTest,testIncludesCompleteClassHierarchyWhenOnlyParentHasSerializationMethods,23
CustomSerializationTest,testIncludesCompleteClassHierarchyWhenParentAndChildHaveSerializationMethods,25
CustomSerializationTest,testMaintainsBackwardsCompatabilityWithXStream1_1_0FieldFormat,38
CustomSerializationTest,testObjectWithCallToDefaultWriteButNoDefaultFields,12
CustomSerializationTest,testSupportsGetFieldsWithoutPutFields,20
CustomSerializationTest,testSupportsPutFieldsWithoutGetFields,18
CustomSerializationTest,testSupportsSubclassesOfClassesThatAlreadyHaveConverters,11
CustomSerializationTest,testSupportsWritingFieldsForObjectsThatDoNotExplicitlyDefineThem,19
CustomSerializationTest,testUsesDefaultIfNamedFieldNotFound,25
CustomSerializationTest,testWritesCustomFieldsToStream,24
StringWithPrefixConverter,canConvert,3
StringWithPrefixConverter,marshal,8
StringWithPrefixConverter,unmarshal,4
DataHolderTest,testCanBePassedInToMarshallerExternally,14
DataHolderTest,testCanBePassedInToUnmarshallerExternally,14
Farm,add,3
DefaultImplementationTest,setUp,7
DefaultImplementationTest,tearDown,4
DefaultImplementationTest,testArrayList,21
DefaultImplementationTest,testCustomDate,15
DynamicProxyTest,setupSecurity,4
DynamicProxyTest,testAsFieldMember,17
DynamicProxyTest,testCanBeMarshaled,10
DynamicProxyTest,testCanBeReferenced,15
DynamicProxyTest,testTypeCanBeAliased,14
1,runTest,3
2,runTest,12
3,runTest,3
4,runTest,3
EncodingTestSuite,addDriverTest,42
EncodingTestSuite,getShortName,5
EncodingTestSuite,suite,3
EncodingTestSuite,test,28
ErrorTest,setUp,4
ErrorTest,testInvalidXml,15
ErrorTest,testNonExistingMember,14
ErrorTest,testNonExistingMemberMatchingAlias,12
ErrorTest,testUnmarshallerThrowsExceptionWithDebuggingInfo,18
